Education,Status,Others,Skin Color,Sex
 Bachelors, Never-married, Prof-specialty, Black, Female
 Assoc-voc, Married-civ-spouse, Machine-op-inspct, White, Male
 Some-college, Never-married, ?, White, Male
 HS-grad, Widowed, ?, White, Male
 Some-college, Separated, Craft-repair, White, Male
 Assoc-voc, Never-married, Other-service, White, Female
 12th, Widowed, Handlers-cleaners, White, Female
 Prof-school, Married-civ-spouse, Prof-specialty, White, Male
 Assoc-acdm, Never-married, Other-service, White, Female
 HS-grad, Never-married, Exec-managerial, White, Female
 Assoc-voc, Divorced, Prof-specialty, White, Female
 Some-college, Married-civ-spouse, Exec-managerial, White, Male
 9th, Married-civ-spouse, Machine-op-inspct, White, Male
 11th, Married-civ-spouse, Craft-repair, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male
 Some-college, Never-married, Other-service, White, Female
 HS-grad, Divorced, Exec-managerial, White, Male
 Some-college, Never-married, Other-service, White, Male
 11th, Never-married, Adm-clerical, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 Masters, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Female
 Bachelors, Never-married, Exec-managerial, White, Female
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 7th-8th, Married-civ-spouse, Prof-specialty, White, Male
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Never-married, Craft-repair, Black, Female
 11th, Married-civ-spouse, Machine-op-inspct, White, Male
 Some-college, Never-married, ?, White, Male
 9th, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Married-civ-spouse, Exec-managerial, White, Male
 10th, Never-married, Other-service, Black, Male
 Prof-school, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Divorced, Adm-clerical, White, Female
 10th, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 10th, Divorced, Craft-repair, White, Male
 Bachelors, Never-married, Prof-specialty, Asian-Pac-Islander, Female
 HS-grad, Widowed, Other-service, Black, Female
 Some-college, Never-married, Adm-clerical, Black, Female
 HS-grad, Widowed, Exec-managerial, White, Female
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Other-service, White, Male
 Some-college, Married-civ-spouse, Adm-clerical, White, Male
 Bachelors, Married-civ-spouse, Craft-repair, White, Male
 9th, Separated, Handlers-cleaners, White, Male
 Some-college, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Male
 Bachelors, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Divorced, Adm-clerical, White, Female
 Prof-school, Never-married, Exec-managerial, White, Male
 Some-college, Married-civ-spouse, Exec-managerial, White, Female
 10th, Never-married, Sales, White, Female
 Masters, Never-married, Adm-clerical, White, Male
 Some-college, Married-civ-spouse, Adm-clerical, White, Female
 Assoc-acdm, Divorced, Adm-clerical, White, Female
 Assoc-voc, Married-civ-spouse, Farming-fishing, White, Male
 HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male
 9th, Never-married, Handlers-cleaners, Black, Male
 HS-grad, Married-spouse-absent, Craft-repair, White, Male
 Some-college, Married-civ-spouse, Adm-clerical, White, Male
 Assoc-voc, Never-married, Other-service, White, Male
 Bachelors, Married-civ-spouse, Sales, White, Male
 5th-6th, Married-civ-spouse, Transport-moving, White, Male
 Some-college, Never-married, Adm-clerical, White, Female
 Some-college, Divorced, Sales, White, Female
 Bachelors, Never-married, Tech-support, Asian-Pac-Islander, Female
 11th, Never-married, Handlers-cleaners, White, Male
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Widowed, Sales, White, Female
 HS-grad, Divorced, Craft-repair, White, Male
 Assoc-voc, Never-married, Craft-repair, White, Male
 HS-grad, Never-married, Transport-moving, White, Male
 Bachelors, Married-civ-spouse, Other-service, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, Black, Male
 1st-4th, Married-civ-spouse, Other-service, Black, Female
 Bachelors, Divorced, Prof-specialty, White, Male
 Bachelors, Divorced, Exec-managerial, White, Female
 Doctorate, Married-civ-spouse, ?, White, Male
 HS-grad, Divorced, Sales, White, Female
 Some-college, Married-civ-spouse, Tech-support, White, Male
 Some-college, Never-married, Prof-specialty, Black, Male
 HS-grad, Never-married, Other-service, White, Female
 HS-grad, Divorced, Adm-clerical, White, Female
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Never-married, Adm-clerical, Black, Male
 Some-college, Divorced, Handlers-cleaners, Asian-Pac-Islander, Male
 12th, Never-married, Adm-clerical, Black, Male
 HS-grad, Separated, Sales, Black, Female
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 Bachelors, Divorced, Sales, White, Male
 Some-college, Never-married, ?, White, Female
 Some-college, Married-civ-spouse, Prof-specialty, White, Male
 Masters, Divorced, Exec-managerial, White, Female
 Bachelors, Never-married, Prof-specialty, White, Female
 Some-college, Divorced, ?, White, Female
 Some-college, Never-married, Adm-clerical, White, Female
 Some-college, Married-civ-spouse, Sales, White, Male
 Bachelors, Never-married, Protective-serv, White, Female
 Bachelors, Married-spouse-absent, Adm-clerical, White, Female
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 HS-grad, Never-married, Other-service, White, Female
 10th, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male
 Bachelors, Never-married, Farming-fishing, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Married-civ-spouse, Sales, White, Male
 HS-grad, Never-married, ?, Amer-Indian-Eskimo, Female
 Masters, Married-civ-spouse, Prof-specialty, White, Female
 HS-grad, Married-civ-spouse, Sales, White, Male
 Assoc-voc, Never-married, ?, Amer-Indian-Eskimo, Female
 Some-college, Never-married, Craft-repair, White, Male
 Some-college, Never-married, Sales, Black, Female
 Prof-school, Married-civ-spouse, Prof-specialty, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Divorced, Sales, Asian-Pac-Islander, Female
 HS-grad, Never-married, Sales, White, Male
 Assoc-acdm, Never-married, ?, White, Male
 Some-college, Married-civ-spouse, Sales, White, Male
 Some-college, Never-married, Other-service, White, Male
 HS-grad, Never-married, Other-service, White, Male
 HS-grad, Never-married, Machine-op-inspct, Asian-Pac-Islander, Male
 HS-grad, Never-married, Transport-moving, White, Male
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 Assoc-acdm, Never-married, Adm-clerical, White, Female
 HS-grad, Never-married, Adm-clerical, White, Female
 Masters, Never-married, Prof-specialty, White, Female
 Bachelors, Never-married, Prof-specialty, White, Female
 HS-grad, Married-civ-spouse, Adm-clerical, White, Male
 HS-grad, Never-married, Machine-op-inspct, Black, Male
 Bachelors, Divorced, Sales, White, Female
 Bachelors, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male
 Bachelors, Never-married, Prof-specialty, White, Female
 Assoc-acdm, Married-civ-spouse, Exec-managerial, White, Female
 HS-grad, Never-married, Other-service, White, Female
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 Assoc-voc, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Never-married, Transport-moving, White, Male
 HS-grad, Never-married, Priv-house-serv, Other, Female
 Masters, Never-married, Exec-managerial, White, Female
 Some-college, Never-married, Craft-repair, White, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Farming-fishing, White, Male
 Some-college, Never-married, ?, White, Female
 Bachelors, Never-married, Exec-managerial, White, Female
 HS-grad, Married-civ-spouse, Adm-clerical, White, Female
 HS-grad, Divorced, Exec-managerial, Asian-Pac-Islander, Female
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Bachelors, Married-civ-spouse, Handlers-cleaners, White, Male
 11th, Never-married, Machine-op-inspct, Black, Male
 HS-grad, Divorced, Other-service, White, Male
 Bachelors, Married-civ-spouse, Tech-support, White, Male
 HS-grad, Never-married, Other-service, White, Male
 Assoc-voc, Never-married, Craft-repair, White, Male
 Bachelors, Never-married, Prof-specialty, White, Female
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Never-married, Adm-clerical, White, Male
 HS-grad, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 HS-grad, Never-married, Machine-op-inspct, Black, Male
 Masters, Married-civ-spouse, Exec-managerial, White, Male
 10th, Never-married, Handlers-cleaners, White, Female
 Bachelors, Never-married, Prof-specialty, White, Male
 HS-grad, Widowed, ?, White, Female
 Assoc-voc, Married-civ-spouse, Machine-op-inspct, White, Male
 Doctorate, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Married-civ-spouse, Sales, White, Male
 HS-grad, Never-married, Craft-repair, White, Male
 HS-grad, Never-married, Other-service, White, Male
 HS-grad, Married-civ-spouse, Machine-op-inspct, Black, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 10th, Married-civ-spouse, Transport-moving, White, Male
 HS-grad, Divorced, Protective-serv, White, Male
 Bachelors, Never-married, Tech-support, White, Female
 12th, Divorced, Transport-moving, White, Male
 11th, Married-civ-spouse, ?, White, Female
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Never-married, Craft-repair, White, Male
 Assoc-voc, Married-civ-spouse, Machine-op-inspct, White, Male
 HS-grad, Married-civ-spouse, Other-service, White, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Never-married, Adm-clerical, White, Male
 Assoc-voc, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Never-married, Craft-repair, White, Male
 11th, Married-civ-spouse, Transport-moving, White, Male
 9th, Never-married, Sales, White, Male
 HS-grad, Never-married, ?, White, Male
 Some-college, Married-civ-spouse, Adm-clerical, Amer-Indian-Eskimo, Female
 Some-college, Married-civ-spouse, Protective-serv, White, Male
 HS-grad, Never-married, Tech-support, White, Male
 Bachelors, Married-civ-spouse, Tech-support, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Masters, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Never-married, Other-service, Black, Female
 Some-college, Divorced, Exec-managerial, White, Female
 HS-grad, Never-married, Adm-clerical, White, Female
 Some-college, Never-married, Transport-moving, White, Male
 Assoc-acdm, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Never-married, Other-service, White, Male
 11th, Married-civ-spouse, Transport-moving, White, Male
 Some-college, Separated, Exec-managerial, Black, Female
 Some-college, Never-married, Adm-clerical, White, Male
 Some-college, Never-married, Sales, White, Male
 Bachelors, Never-married, Exec-managerial, White, Male
 5th-6th, Never-married, Transport-moving, White, Male
 Bachelors, Never-married, Sales, White, Female
 Some-college, Never-married, Prof-specialty, White, Female
 HS-grad, Married-civ-spouse, Other-service, White, Female
 9th, Never-married, Machine-op-inspct, White, Male
 Bachelors, Married-civ-spouse, Protective-serv, White, Male
 HS-grad, Married-civ-spouse, Adm-clerical, White, Female
 Bachelors, Never-married, Sales, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Bachelors, Never-married, Adm-clerical, White, Female
 Masters, Divorced, Prof-specialty, White, Female
 Some-college, Married-civ-spouse, Tech-support, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Never-married, Farming-fishing, White, Male
 Assoc-acdm, Never-married, Adm-clerical, Black, Male
 Assoc-voc, Married-civ-spouse, Prof-specialty, White, Female
 11th, Never-married, Sales, Black, Female
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Married-civ-spouse, Protective-serv, White, Male
 Doctorate, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Never-married, Sales, White, Male
 Some-college, Married-civ-spouse, Adm-clerical, White, Female
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 HS-grad, Separated, Machine-op-inspct, White, Female
 Bachelors, Separated, Craft-repair, White, Male
 HS-grad, Divorced, Sales, White, Female
 5th-6th, Never-married, Other-service, Other, Female
 HS-grad, Married-civ-spouse, Adm-clerical, White, Female
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Bachelors, Never-married, Adm-clerical, Asian-Pac-Islander, Female
 Assoc-voc, Never-married, Tech-support, White, Male
 Some-college, Divorced, Adm-clerical, White, Female
 Some-college, Married-civ-spouse, Adm-clerical, White, Male
 HS-grad, Never-married, Prof-specialty, White, Female
 Assoc-voc, Divorced, Tech-support, White, Female
 HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male
 Some-college, Divorced, Adm-clerical, White, Female
 10th, Never-married, Craft-repair, White, Male
 HS-grad, Never-married, Exec-managerial, White, Male
 9th, Married-civ-spouse, Craft-repair, White, Male
 Bachelors, Never-married, ?, White, Female
 HS-grad, Divorced, Craft-repair, White, Male
 HS-grad, Never-married, Sales, White, Female
 5th-6th, Never-married, Priv-house-serv, White, Female
 Some-college, Divorced, Transport-moving, White, Male
 HS-grad, Never-married, Sales, Black, Female
 Some-college, Widowed, Sales, White, Female
 HS-grad, Married-civ-spouse, Farming-fishing, White, Male
 Some-college, Never-married, Adm-clerical, Asian-Pac-Islander, Male
 HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male
 HS-grad, Never-married, Transport-moving, Black, Male
 HS-grad, Never-married, Other-service, Black, Female
 HS-grad, Married-civ-spouse, Farming-fishing, White, Male
 11th, Married-civ-spouse, Transport-moving, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Female
 10th, Never-married, Craft-repair, White, Male
 11th, Married-spouse-absent, Handlers-cleaners, White, Female
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Separated, Sales, White, Male
 Masters, Never-married, Prof-specialty, White, Male
 9th, Never-married, Machine-op-inspct, White, Male
 Masters, Never-married, Exec-managerial, White, Female
 Assoc-voc, Never-married, Farming-fishing, White, Male
 Bachelors, Married-civ-spouse, Sales, White, Male
 HS-grad, Never-married, Adm-clerical, White, Female
 HS-grad, Never-married, Other-service, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Assoc-acdm, Married-civ-spouse, Sales, White, Male
 11th, Widowed, Sales, White, Female
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Never-married, Other-service, Black, Female
 7th-8th, Married-civ-spouse, Other-service, Asian-Pac-Islander, Male
 10th, Married-civ-spouse, Handlers-cleaners, White, Male
 Some-college, Married-civ-spouse, Protective-serv, White, Male
 HS-grad, Never-married, ?, Black, Female
 Some-college, Never-married, ?, White, Female
 HS-grad, Married-civ-spouse, ?, White, Male
 Some-college, Married-civ-spouse, Sales, White, Male
 HS-grad, Married-civ-spouse, Farming-fishing, White, Male
 Some-college, Married-civ-spouse, Protective-serv, White, Male
 HS-grad, Widowed, Other-service, White, Female
 HS-grad, Married-spouse-absent, ?, White, Female
 Some-college, Married-civ-spouse, Adm-clerical, White, Male
 HS-grad, Divorced, Craft-repair, White, Male
 9th, Never-married, Craft-repair, White, Female
 5th-6th, Married-civ-spouse, Handlers-cleaners, White, Male
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Never-married, Sales, White, Female
 HS-grad, Separated, ?, White, Female
 10th, Married-civ-spouse, Machine-op-inspct, White, Male
 Some-college, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Never-married, Exec-managerial, White, Female
 Masters, Never-married, Sales, White, Male
 11th, Divorced, Prof-specialty, Black, Female
 Bachelors, Divorced, Sales, White, Male
 11th, Married-civ-spouse, Craft-repair, White, Male
 9th, Never-married, Craft-repair, Other, Male
 Some-college, Never-married, Sales, Asian-Pac-Islander, Male
 Doctorate, Never-married, Prof-specialty, White, Female
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Never-married, Farming-fishing, White, Male
 Assoc-voc, Married-civ-spouse, Craft-repair, White, Male
 Assoc-acdm, Married-civ-spouse, Sales, White, Male
 Prof-school, Married-spouse-absent, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male
 Some-college, Divorced, Adm-clerical, White, Female
 HS-grad, Widowed, Adm-clerical, White, Female
 Bachelors, Divorced, Prof-specialty, White, Female
 HS-grad, Divorced, Adm-clerical, White, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 Bachelors, Married-civ-spouse, ?, White, Male
 Bachelors, Never-married, Sales, Asian-Pac-Islander, Male
 Prof-school, Married-civ-spouse, Prof-specialty, White, Male
 7th-8th, Widowed, ?, White, Female
 Some-college, Divorced, Exec-managerial, White, Male
 Bachelors, Never-married, Exec-managerial, White, Female
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Never-married, ?, White, Male
 Masters, Married-civ-spouse, Exec-managerial, White, Male
 10th, Widowed, Transport-moving, White, Female
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 5th-6th, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Male
 Prof-school, Never-married, Prof-specialty, White, Male
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Never-married, Other-service, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, Black, Male
 Some-college, Married-civ-spouse, Other-service, White, Female
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 Bachelors, Married-civ-spouse, Farming-fishing, White, Male
 HS-grad, Never-married, Other-service, White, Female
 Some-college, Married-civ-spouse, Prof-specialty, Other, Female
 11th, Never-married, Sales, White, Male
 Bachelors, Never-married, Exec-managerial, White, Female
 HS-grad, Married-civ-spouse, Sales, White, Male
 HS-grad, Never-married, Transport-moving, White, Male
 Some-college, Married-civ-spouse, Sales, White, Male
 Bachelors, Married-civ-spouse, Tech-support, White, Male
 HS-grad, Divorced, Adm-clerical, White, Female
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Other-service, Asian-Pac-Islander, Female
 Bachelors, Never-married, Exec-managerial, White, Male
 HS-grad, Divorced, ?, White, Female
 Bachelors, Married-spouse-absent, Exec-managerial, White, Male
 Some-college, Widowed, Adm-clerical, White, Female
 11th, Married-civ-spouse, Transport-moving, White, Male
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Never-married, Other-service, White, Female
 HS-grad, Never-married, Craft-repair, White, Male
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 Bachelors, Never-married, Exec-managerial, White, Female
 HS-grad, Married-civ-spouse, Craft-repair, Black, Male
 11th, Married-civ-spouse, Other-service, White, Female
 HS-grad, Never-married, Armed-Forces, White, Male
 Bachelors, Never-married, Adm-clerical, White, Female
 Bachelors, Widowed, Adm-clerical, White, Female
 HS-grad, Never-married, Sales, White, Female
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 7th-8th, Married-civ-spouse, ?, White, Male
 HS-grad, Divorced, Adm-clerical, White, Female
 Assoc-acdm, Married-civ-spouse, Farming-fishing, White, Female
 Some-college, Never-married, Other-service, White, Female
 Some-college, Married-civ-spouse, Transport-moving, White, Male
 HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male
 Bachelors, Never-married, Prof-specialty, White, Male
 HS-grad, Married-spouse-absent, Farming-fishing, White, Female
 Some-college, Married-civ-spouse, Protective-serv, White, Male
 Assoc-acdm, Married-civ-spouse, Handlers-cleaners, White, Male
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 Bachelors, Never-married, Exec-managerial, White, Male
 Assoc-voc, Never-married, Other-service, Black, Female
 Assoc-voc, Never-married, Adm-clerical, White, Female
 HS-grad, Married-civ-spouse, Sales, White, Female
 Some-college, Divorced, Exec-managerial, White, Female
 Masters, Never-married, Prof-specialty, White, Male
 HS-grad, Separated, Transport-moving, White, Male
 Bachelors, Never-married, Prof-specialty, White, Male
 Assoc-acdm, Married-civ-spouse, Sales, White, Male
 Bachelors, Never-married, Exec-managerial, White, Male
 Assoc-acdm, Never-married, Prof-specialty, Black, Male
 HS-grad, Married-civ-spouse, Other-service, White, Male
 7th-8th, Married-civ-spouse, Protective-serv, White, Male
 HS-grad, Divorced, Exec-managerial, Other, Female
 Some-college, Married-civ-spouse, Exec-managerial, White, Female
 Bachelors, Married-civ-spouse, Adm-clerical, White, Female
 HS-grad, Never-married, ?, Black, Female
 Assoc-voc, Never-married, Machine-op-inspct, White, Female
 Some-college, Married-civ-spouse, Machine-op-inspct, Black, Male
 HS-grad, Never-married, Handlers-cleaners, White, Female
 Masters, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Divorced, Tech-support, Black, Female
 Bachelors, Married-civ-spouse, Sales, White, Female
 Assoc-acdm, Never-married, Sales, White, Female
 HS-grad, Never-married, Handlers-cleaners, White, Male
 HS-grad, Married-civ-spouse, Adm-clerical, White, Female
 Masters, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Divorced, Tech-support, White, Female
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Never-married, Craft-repair, White, Male
 HS-grad, Divorced, Handlers-cleaners, White, Male
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 11th, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Never-married, Craft-repair, White, Male
 Some-college, Widowed, Craft-repair, White, Female
 Bachelors, Married-civ-spouse, Adm-clerical, White, Male
 HS-grad, Never-married, Adm-clerical, White, Female
 Bachelors, Divorced, Craft-repair, White, Female
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Never-married, Adm-clerical, White, Female
 HS-grad, Never-married, Transport-moving, White, Male
 HS-grad, Married-civ-spouse, Other-service, Black, Male
 9th, Married-civ-spouse, ?, Asian-Pac-Islander, Female
 Masters, Never-married, Prof-specialty, White, Female
 Some-college, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Divorced, Adm-clerical, White, Female
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 9th, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Never-married, Exec-managerial, White, Female
 HS-grad, Divorced, Sales, White, Female
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Married-civ-spouse, Adm-clerical, Black, Male
 Bachelors, Divorced, Prof-specialty, Black, Female
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 Masters, Widowed, Tech-support, Asian-Pac-Islander, Female
 HS-grad, Married-civ-spouse, Sales, White, Male
 Assoc-acdm, Married-civ-spouse, Exec-managerial, White, Male
 11th, Never-married, ?, White, Male
 Assoc-voc, Separated, Other-service, White, Female
 HS-grad, Never-married, Adm-clerical, White, Female
 7th-8th, Married-civ-spouse, Other-service, White, Female
 HS-grad, Never-married, ?, Black, Female
 Some-college, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Divorced, Other-service, White, Female
 Some-college, Married-civ-spouse, Prof-specialty, White, Male
 10th, Married-civ-spouse, Handlers-cleaners, White, Male
 Some-college, Never-married, Exec-managerial, White, Male
 Masters, Divorced, Sales, White, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Never-married, Exec-managerial, White, Male
 HS-grad, Married-civ-spouse, Tech-support, White, Male
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Divorced, Adm-clerical, Other, Female
 HS-grad, Married-civ-spouse, Adm-clerical, Asian-Pac-Islander, Female
 10th, Separated, Sales, White, Female
 HS-grad, Never-married, Craft-repair, White, Male
 Doctorate, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Never-married, Exec-managerial, Black, Female
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 HS-grad, Divorced, Other-service, White, Female
 Assoc-voc, Widowed, Adm-clerical, White, Female
 Bachelors, Never-married, Prof-specialty, White, Male
 Masters, Divorced, Adm-clerical, White, Female
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 Assoc-voc, Never-married, Exec-managerial, White, Male
 Some-college, Married-civ-spouse, Tech-support, White, Male
 HS-grad, Married-civ-spouse, ?, White, Male
 HS-grad, Separated, ?, Black, Female
 Prof-school, Divorced, Prof-specialty, White, Female
 11th, Never-married, Other-service, Amer-Indian-Eskimo, Female
 5th-6th, Married-civ-spouse, Transport-moving, White, Male
 12th, Divorced, Transport-moving, White, Male
 7th-8th, Never-married, Adm-clerical, White, Male
 9th, Married-civ-spouse, Handlers-cleaners, Black, Male
 Bachelors, Married-civ-spouse, ?, White, Male
 Bachelors, Never-married, Exec-managerial, White, Male
 HS-grad, Divorced, Handlers-cleaners, Black, Female
 Prof-school, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Never-married, Adm-clerical, Black, Female
 HS-grad, Never-married, Exec-managerial, White, Male
 Some-college, Married-spouse-absent, Adm-clerical, Black, Female
 Some-college, Married-civ-spouse, Craft-repair, Amer-Indian-Eskimo, Male
 Some-college, Married-civ-spouse, Transport-moving, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Prof-school, Never-married, Prof-specialty, White, Male
 Some-college, Divorced, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Bachelors, Never-married, Prof-specialty, White, Female
 Bachelors, Married-civ-spouse, Exec-managerial, White, Female
 Some-college, Never-married, Adm-clerical, Asian-Pac-Islander, Female
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Never-married, ?, Black, Female
 HS-grad, Never-married, Adm-clerical, White, Male
 Masters, Divorced, Exec-managerial, White, Female
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Never-married, ?, White, Male
 HS-grad, Divorced, Craft-repair, White, Male
 Some-college, Married-civ-spouse, Transport-moving, White, Male
 Bachelors, Never-married, Sales, White, Male
 Doctorate, Married-civ-spouse, Exec-managerial, White, Female
 Assoc-voc, Never-married, Sales, White, Male
 Assoc-voc, Never-married, Adm-clerical, Asian-Pac-Islander, Female
 HS-grad, Divorced, Adm-clerical, White, Female
 HS-grad, Never-married, Adm-clerical, White, Female
 Some-college, Never-married, Adm-clerical, White, Female
 HS-grad, Widowed, Exec-managerial, White, Female
 Bachelors, Married-civ-spouse, Protective-serv, White, Male
 Some-college, Never-married, Craft-repair, Black, Male
 Assoc-voc, Separated, Prof-specialty, White, Female
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 Bachelors, Married-civ-spouse, Adm-clerical, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male
 HS-grad, Married-civ-spouse, Protective-serv, White, Male
 Assoc-voc, Divorced, Exec-managerial, White, Female
 11th, Married-civ-spouse, Transport-moving, White, Male
 Bachelors, Never-married, Prof-specialty, White, Male
 HS-grad, Divorced, Other-service, White, Female
 Assoc-voc, Married-spouse-absent, Craft-repair, White, Male
 11th, Never-married, Craft-repair, White, Male
 Some-college, Divorced, Adm-clerical, White, Female
 HS-grad, Never-married, Adm-clerical, White, Male
 10th, Never-married, ?, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Transport-moving, Amer-Indian-Eskimo, Male
 11th, Married-civ-spouse, Transport-moving, White, Male
 Some-college, Married-civ-spouse, Machine-op-inspct, White, Male
 HS-grad, Never-married, Machine-op-inspct, Black, Male
 Masters, Married-civ-spouse, Prof-specialty, Other, Female
